case,seed,tag,mode,status,input_tokens,output_tokens,finish_reason,eos_reached,wall_time_seconds,output_tokens_per_second,spec_accept_rate,spec_accept_length,spec_verify_ct,lossy_method,reached_final_channel,server_request_ordinal,threshold_acc,output_chars,output_path
case_001,0,b02_lenience,strict,ok,212,1587,stop,True,3.55,447.65,,,,,True,,,3801,runs/aime24/case_001/seed_0/b02_lenience/output.txt
case_001,0,b1_equiv10,strict,ok,212,1711,stop,True,4.65,367.94,,,,,True,,,4136,runs/aime24/case_001/seed_0/b1_equiv10/output.txt
case_002,0,b02_lenience,strict,ok,188,32768,length,False,82.54,396.98,,,,,False,,,97578,runs/aime24/case_002/seed_0/b02_lenience/output.txt
case_002,0,b1_equiv10,strict,ok,188,13870,stop,True,46.97,295.28,,,,,True,,,39861,runs/aime24/case_002/seed_0/b1_equiv10/output.txt
case_003,0,b02_lenience,strict,ok,158,32768,length,False,83.89,390.61,,,,,False,,,116380,runs/aime24/case_003/seed_0/b02_lenience/output.txt
case_003,0,b1_equiv10,strict,ok,158,13110,stop,True,47.93,273.51,,,,,True,,,45273,runs/aime24/case_003/seed_0/b1_equiv10/output.txt
case_004,0,b02_lenience,strict,ok,163,10492,stop,True,23.72,442.38,,,,,True,,,27320,runs/aime24/case_004/seed_0/b02_lenience/output.txt
case_004,0,b1_equiv10,strict,ok,163,15237,stop,True,49.85,305.68,,,,,True,,,40274,runs/aime24/case_004/seed_0/b1_equiv10/output.txt
case_005,0,b02_lenience,strict,ok,145,15821,stop,True,40.38,391.84,,,,,True,,,38786,runs/aime24/case_005/seed_0/b02_lenience/output.txt
case_005,0,b1_equiv10,strict,ok,145,9707,stop,True,30.6,317.27,,,,,True,,,22721,runs/aime24/case_005/seed_0/b1_equiv10/output.txt
case_006,0,b02_lenience,strict,ok,225,32768,length,False,81.13,403.87,,,,,False,,,75422,runs/aime24/case_006/seed_0/b02_lenience/output.txt
case_006,0,b1_equiv10,strict,ok,225,8623,stop,True,25.02,344.66,,,,,True,,,21025,runs/aime24/case_006/seed_0/b1_equiv10/output.txt
case_007,0,b02_lenience,strict,ok,177,18694,stop,True,46.38,403.08,,,,,True,,,48777,runs/aime24/case_007/seed_0/b02_lenience/output.txt
case_007,0,b1_equiv10,strict,ok,177,11504,stop,True,39.76,289.35,,,,,True,,,30659,runs/aime24/case_007/seed_0/b1_equiv10/output.txt
case_008,0,b02_lenience,strict,ok,131,2241,stop,True,4.66,480.53,,,,,True,,,6164,runs/aime24/case_008/seed_0/b02_lenience/output.txt
case_008,0,b1_equiv10,strict,ok,131,7640,stop,True,22.49,339.65,,,,,True,,,16943,runs/aime24/case_008/seed_0/b1_equiv10/output.txt
case_009,0,b02_lenience,strict,ok,178,5111,stop,True,11.44,446.84,,,,,True,,,14470,runs/aime24/case_009/seed_0/b02_lenience/output.txt
case_009,0,b1_equiv10,strict,ok,178,2926,stop,True,9.28,315.38,,,,,True,,,8351,runs/aime24/case_009/seed_0/b1_equiv10/output.txt
case_010,0,b02_lenience,strict,ok,205,2405,stop,True,5.12,470.02,,,,,True,,,8670,runs/aime24/case_010/seed_0/b02_lenience/output.txt
case_010,0,b1_equiv10,strict,ok,205,1252,stop,True,3.81,328.68,,,,,True,,,3620,runs/aime24/case_010/seed_0/b1_equiv10/output.txt
