token_text,count,pct_of_onsets,benchmarks,labels,mean_p,mean_q,mean_p_over_q,mean_u,mean_target_rank,mean_target_top1_prob,mean_target_top1_margin,mean_target_entropy,mean_draft_entropy,mean_kl_target_draft,mean_kl_draft_target,mean_tv_distance,mean_consecutive_accepted_length,share_strict_would_accept,share_lossy_would_accept,share_actually_accepted,share_lossy_only_accepted
But,28,8.433734939759036,"aime24,livecodebench",unproductive_repetition,0.27546919400000003,0.36304396679999995,0.81031044,0.4769367608,1.92,0.43239592000000004,0.15692684,2.0970936,2.1010884,0.7281636,0.6813756,0.3714588,3.75,0.6,0.96,0.96,0.36
Thus,25,7.530120481927711,aime24,unproductive_repetition,0.3971059123809524,0.4823819719047619,0.8797022857142858,0.45501433142857145,1.0,0.5369962857142857,0.13989033333333334,1.5484104761904764,1.7551523809523808,0.9780885714285714,0.8407766666666667,0.36386142857142856,3.52,0.7142857142857143,0.9523809523809523,0.9523809523809523,0.23809523809523808
We,25,7.530120481927711,"aime24,livecodebench",unproductive_repetition,0.3836693345833333,0.3825343520833333,1.0241005416666666,0.6311052720833333,6.041666666666667,0.47028016666666667,0.08661087499999999,1.9260287499999997,1.9248408333333333,0.5374116666666667,0.45683416666666665,0.28621583333333334,2.52,0.75,0.9583333333333334,0.9583333333333334,0.20833333333333334
 So,16,4.819277108433735,"aime24,longbench_v2",unproductive_repetition,0.5234956426666667,0.5440873079999999,0.9236164,0.5818767473333334,21.466666666666665,0.6006482,0.0771526,1.44773,1.900042,0.7586013333333333,0.6726446666666667,0.3168286666666667,3.25,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.06666666666666667
 But,14,4.216867469879518,"aime24,livecodebench",unproductive_repetition,0.33729368857142855,0.33252987857142857,0.9975788571428571,0.5301113464285715,1.2142857142857142,0.4475044285714286,0.1102107857142857,2.040105714285714,2.366147857142857,0.60182,0.6154585714285714,0.3620435714285714,3.2857142857142856,0.7857142857142857,1.0,1.0,0.21428571428571427
Now,12,3.6144578313253013,aime24,unproductive_repetition,0.18896677916666668,0.22796456,0.8942629166666666,0.501213855,6.333333333333333,0.42636308333333334,0.23739624999999998,1.9947633333333332,2.0811783333333334,0.6085266666666667,0.6080916666666667,0.35873249999999995,2.4166666666666665,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.25
Let,9,2.710843373493976,aime24,unproductive_repetition,0.2617320022222222,0.33193091444444445,0.7371205555555556,0.4235307911111111,4.111111111111111,0.4279536666666667,0.16622166666666666,1.9953522222222222,2.5159044444444443,1.0895133333333333,1.2375088888888888,0.4621311111111111,3.5555555555555554,0.5555555555555556,1.0,1.0,0.4444444444444444
 We,8,2.4096385542168677,aime24,unproductive_repetition,0.094300965,0.11787074374999999,1.16430425,0.66812533625,7.0,0.259545,0.165244,2.685705,2.67116375,0.68620375,0.7113674999999999,0.39756375,2.625,0.5,0.875,0.875,0.375
Compute,7,2.108433734939759,aime24,unproductive_repetition,0.2639682,0.2988796714285714,0.7141368571428571,0.5562273400000001,19.142857142857142,0.49407285714285715,0.23010457142857144,1.8737057142857143,2.192082857142857,1.1570957142857143,1.1136785714285715,0.47121,2.857142857142857,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.42857142857142855
Let's,7,2.108433734939759,"aime24,livecodebench,mtbench","necessary_repetition,unproductive_repetition",0.05031247800000001,0.147846054,0.40856139999999996,0.43141027200000004,6.0,0.4551168,0.4048044,2.14781,2.6989539999999996,0.8516359999999998,0.8622720000000001,0.373002,2.4285714285714284,0.4,0.8,0.8,0.4
 the,6,1.8072289156626506,"aime24,longbench_v2",unproductive_repetition,0.31887281,0.38779811999999997,0.9860276000000001,0.544109316,0.6,0.5685906000000001,0.24971759999999996,1.77195,2.361192,0.754304,0.8069939999999999,0.356204,3.0,1.0,1.0,1.0,0.0
