case,seed,tag,mode,status,input_tokens,output_tokens,finish_reason,eos_reached,wall_time_seconds,output_tokens_per_second,spec_accept_rate,spec_accept_length,spec_verify_ct,lossy_method,reached_final_channel,server_request_ordinal,threshold_acc,output_chars,output_path
case_001,0,lenience0p2,lossy,ok,212,1587,stop,True,3.55,447.49,,,,lenience,True,1,,3801,runs/aime24_fresh/case_001/seed_0/lenience0p2/output.txt
case_001,0,strict,strict,ok,212,1711,stop,True,4.63,369.45,,,,,True,1,,4136,runs/aime24_fresh/case_001/seed_0/strict/output.txt
case_002,0,lenience0p2,lossy,ok,188,32768,length,False,82.93,395.12,,,,lenience,False,1,,97141,runs/aime24_fresh/case_002/seed_0/lenience0p2/output.txt
case_002,0,strict,strict,ok,188,32768,length,False,119.15,275.02,,,,,False,1,,93251,runs/aime24_fresh/case_002/seed_0/strict/output.txt
case_003,0,lenience0p2,lossy,ok,158,32768,length,False,85.44,383.51,,,,lenience,False,1,,116873,runs/aime24_fresh/case_003/seed_0/lenience0p2/output.txt
case_003,0,strict,strict,ok,158,28934,stop,True,113.03,255.99,,,,,True,1,,97151,runs/aime24_fresh/case_003/seed_0/strict/output.txt
case_004,0,lenience0p2,lossy,ok,163,32768,length,False,77.17,424.6,,,,lenience,False,1,,72682,runs/aime24_fresh/case_004/seed_0/lenience0p2/output.txt
case_004,0,strict,strict,ok,163,10406,stop,True,34.76,299.33,,,,,True,1,,26830,runs/aime24_fresh/case_004/seed_0/strict/output.txt
case_005,0,lenience0p2,lossy,ok,145,10356,stop,True,24.31,425.96,,,,lenience,True,1,,24251,runs/aime24_fresh/case_005/seed_0/lenience0p2/output.txt
case_005,0,strict,strict,ok,145,5394,stop,True,17.48,308.51,,,,,True,1,,12612,runs/aime24_fresh/case_005/seed_0/strict/output.txt
case_006,0,lenience0p2,lossy,ok,225,8458,stop,True,18.62,454.13,,,,lenience,True,1,,20697,runs/aime24_fresh/case_006/seed_0/lenience0p2/output.txt
case_006,0,strict,strict,ok,225,10613,stop,True,33.41,317.63,,,,,True,1,,26381,runs/aime24_fresh/case_006/seed_0/strict/output.txt
case_007,0,lenience0p2,lossy,ok,177,7067,stop,True,17.07,414.11,,,,lenience,True,1,,20841,runs/aime24_fresh/case_007/seed_0/lenience0p2/output.txt
case_007,0,strict,strict,ok,177,6048,stop,True,21.03,287.64,,,,,True,1,,19521,runs/aime24_fresh/case_007/seed_0/strict/output.txt
case_008,0,lenience0p2,lossy,ok,131,7158,stop,True,15.51,461.42,,,,lenience,True,1,,17241,runs/aime24_fresh/case_008/seed_0/lenience0p2/output.txt
case_008,0,strict,strict,ok,131,1976,stop,True,5.99,329.97,,,,,True,1,,4677,runs/aime24_fresh/case_008/seed_0/strict/output.txt
case_009,0,lenience0p2,lossy,ok,178,2997,stop,True,7.3,410.77,,,,lenience,True,1,,8206,runs/aime24_fresh/case_009/seed_0/lenience0p2/output.txt
